country_name,city_name,timezone_name
United States,Wilmington (NC),America/New_York
Argentina,Buenos Aires,America/Argentina/Buenos_Aires
Argentina,Bariloche,America/Argentina/Salta
Argentina,Córdoba,Europe/Madrid
Argentina,Mendoza,America/Argentina/Mendoza
Argentina,Puerto Iguazú,America/Argentina/Cordoba
Argentina,Resistencia,America/Argentina/Cordoba
Argentina,Río Gallegos,America/Argentina/Rio_Gallegos
Argentina,Ushuaia,America/Argentina/Ushuaia
Bolivia,La Paz,America/La_Paz
Bolivia,Santa Cruz de la Sierra,America/La_Paz
Bolivia,Cochabamba,America/La_Paz
Brazil,Aracaju,America/Maceio
Brazil,Belém,America/Belem
Brazil,Belo Horizonte,America/Sao_Paulo
Brazil,Boa Vista,America/Boa_Vista
Brazil,Brasília,America/Cuiaba
Brazil,Campinas,America/Sao_Paulo
Brazil,Campo Grande,America/Campo_Grande
Brazil,Cuiabá,America/Cuiaba
Brazil,Curitiba,America/Sao_Paulo
Brazil,Florianópolis,America/Sao_Paulo
Brazil,Fortaleza,America/Fortaleza
Brazil,Foz do Iguaçu,America/Sao_Paulo
Brazil,Goiânia,America/Sao_Paulo
Brazil,João Pessoa,America/Fortaleza
Brazil,Maceió,America/Maceio
Brazil,Manaus,America/Manaus
Brazil,Natal,America/Fortaleza
Brazil,Petrolina,America/Recife
Brazil,Porto Alegre,America/Sao_Paulo
Brazil,Porto Velho,America/Porto_Velho
Brazil,Recife,America/Recife
Brazil,Rio Branco,America/Rio_Branco
Brazil,Rio de Janeiro,America/Sao_Paulo
Brazil,Salvador,America/El_Salvador
Brazil,São Luís,America/Fortaleza
Brazil,São Paulo,America/Sao_Paulo
Brazil,Teresina,America/Fortaleza
Brazil,Uberlândia,America/Sao_Paulo
Brazil,Vitória,America/Sao_Paulo
Chile,Antofagasta,America/Santiago
Chile,Concepción,America/Santiago
Chile,Puerto Montt,America/Santiago
Chile,Punta Arenas,America/Punta_Arenas
Chile,Santiago,America/Costa_Rica
Colombia,Armenia,Asia/Yerevan
Colombia,Barranquilla,America/Bogota
Colombia,Bogotá,America/Bogota
Colombia,Bucaramanga,America/Bogota
Colombia,Buenaventura,Europe/Madrid
Colombia,Cali,America/Bogota
Colombia,Cartagena,Europe/Madrid
Colombia,Cúcuta,America/Bogota
Colombia,Ibagué,America/Bogota
Colombia,Ipiales,America/Bogota
Colombia,Florencia,Europe/Rome
Colombia,Leticia,America/Bogota
Colombia,Maicao,America/Bogota
Colombia,Manizales,America/Bogota
Colombia,Medellín,America/Bogota
Colombia,Mitú,America/Bogota
Colombia,Montería,America/Bogota
Colombia,Neiva,America/Bogota
Colombia,Pasto,America/Bogota
Colombia,Pereira,America/Bogota
Colombia,Popayán,America/Bogota
Colombia,Providence Island,America/Yellowknife
Colombia,Quibdó,America/Bogota
Colombia,Riohacha,America/Bogota
Colombia,San Andrés,America/Bogota
Colombia,Tolú,America/Bogota
Colombia,Tumaco,America/Bogota
Colombia,Santa Marta,America/Bogota
Colombia,Sincelejo,America/Bogota
Colombia,Valledupar,America/Bogota
Colombia,Villavicencio,America/Bogota
Colombia,Yopal,America/Bogota
Ecuador,Cuenca,Europe/Madrid
Ecuador,Esmeraldas,America/Sao_Paulo
Ecuador,Guayaquil,America/Guayaquil
Ecuador,Machala,America/Guayaquil
Ecuador,Manta,Europe/Rome
Ecuador,Quito,America/Guayaquil
Ecuador,Tulcán,America/Guayaquil
Falkland Islands,Mount Pleasant,America/Chicago
French Guiana,Cayenne,America/Cayenne
Guyana,Georgetown,America/Guyana
Paraguay,Asunción,America/Asuncion
Paraguay,Ciudad del Este,America/Asuncion
Peru,Arequipa,America/Lima
Peru,Cusco,America/Lima
Peru,Lima,America/Lima
Suriname,Paramaribo,America/Paramaribo
